Checkpoint;Tiempo Absoluto (seg);Tiempo Desde Anterior (seg);Muertes entre checkpoints;Muertes totales;Muertes por enemigos;Muertes por vacío;Enemigos eliminados;Disparos Blaster;Acertados Blaster;Fallados Blaster;Precisión Blaster (%);Disparos Escopeta;Acertados Escopeta;Fallados Escopeta;Precisión Escopeta (%);Disparos Totales;Acertados Totales;Fallados Totales;Precisión Total (%)
Checkpoint_1;0.00;0.00;0;0;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_2;42.48;42.48;0;0;0;0;6;46;42;4;91.3;0;0;0;0.0;46;42;4;91.3
Checkpoint_3;83.86;41.38;0;0;0;0;0;27;27;0;100.0;0;0;0;0.0;27;27;0;100.0
Checkpoint_4;103.14;19.28;0;0;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_5;138.62;35.48;0;0;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_6;476.12;337.50;1;1;0;1;16;413;252;161;61.0;48;6;42;12.5;461;258;203;56.0
Checkpoint_7;485.36;9.24;0;1;0;0;4;0;0;0;0.0;4;4;0;100.0;4;4;0;100.0
Checkpoint_8;501.24;15.88;0;1;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_9;516.64;15.40;0;1;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_10;523.46;6.82;0;1;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Final_Level;572.08;48.62;0;1;0;0;2;74;56;18;75.7;10;8;2;80.0;84;64;20;76.2